vuosi,viikko,num1,num2,num3,num4,num5,num6,num7,lisanum
2021,49,1,8,12,18,33,35,36,37
2021,49,11,12,14,19,29,33,38,22
2021,49,1,2,3,4,5,6,7,8
2021,49,1,2,3,4,5,6,7,8
2021,49,1,11,13,29,33,35,36,19
2021,49,3,4,8,23,24,26,39,22
2021,49,1,2,3,4,5,6,7,8
2021,49,1,2,3,4,5,6,7,8
2021,49,1,2,3,4,5,6,7,8
2021,49,1,2,3,4,5,6,7,8
2021,49,1,2,3,4,5,6,7,8
2021,49,2,5,6,14,24,30,40,37
2021,49,4,9,12,14,22,38,40,2
2021,49,1,2,3,4,5,6,7,8
2021,49,1,2,3,4,5,6,7,8
2021,49,2,6,21,23,25,33,40,12
2021,49,1,2,3,4,5,6,7,8
